% Cluster A
% Generator : numpy.random.multivariate_normal, seed=42
% Mean      : mu    = (-3.0,  1.5)
% Covariance: sigma = (1.8, 0.9), angle = 15 deg
%             => R * diag(1.8^2, 0.9^2) * R^T
% N points  : 45
% Ellipse   : rotation=15 deg, semi-axes=(2.3cm, 1.2cm)
-3.83  1.15
-4.48  2.52
-2.54  1.41
-5.92  1.43
-2.31  2.19
-2.09  1.31
-2.98 -0.28
 0.13  1.81
-1.31  2.25
-1.09  0.70
-5.50  0.62
-2.79  0.23
-2.08  1.85
-1.09  2.36
-1.89  1.53
-2.39  3.39
-2.73  0.59
-4.15  0.06
-2.91 -0.30
-0.74  2.29
-4.32  1.30
-2.73  1.29
-0.26  1.56
-2.45  2.63
-3.19 -0.19
-3.47  1.01
-1.97  2.35
-5.01  1.83
-1.47  1.62
-3.80  2.19
-2.12  1.56
-0.80  0.98
-4.73  2.30
-3.11  2.41
-3.48  0.77
-3.99  2.67
-3.30  2.88
 1.36  3.43
-3.08  1.20
-2.70 -0.27
-2.70  1.91
-5.45  0.36
-1.48  1.44
-4.67  1.36
-2.20  2.19
