0.035 5.397
-0.381 5.518
0.059 4.813
-0.192 6.263
-0.136 4.624
0.116 4.629
0.478 5.194
0.141 3.620
-0.079 4.190
0.353 4.274
0.056 6.173
0.356 5.054
-0.028 4.564
-0.094 4.079
0.073 4.519
-0.463 4.519
0.264 4.989
0.305 5.658
0.490 5.167
-0.049 3.937
-0.043 5.591
0.075 4.907
0.180 3.817
-0.264 4.631
0.441 5.275
0.096 5.259
-0.153 4.458
-0.233 5.825
0.077 4.329
-0.244 5.265
0.046 4.617
0.299 4.115
-0.339 5.650
-0.251 4.942
0.161 5.289
-0.385 5.289
-0.391 4.971
-0.205 2.904
0.075 5.070
0.497 5.073
-0.089 4.824
0.130 6.182
0.125 4.353
-0.082 5.732
-0.128 4.576
